Rooms,Type,Price,Date,Distance,Postcode,Bathroom,Car,Landsize,BuildingArea,YearBuilt
2,h,399000,7/5/16,8.7,3032,1,1.0,904,53.0,1985.0
3,h,1241000,28/08/2016,13.9,3165,1,1.0,643,,
2,u,550000,8/7/17,3.0,3067,1,1.0,1521,,
3,u,691000,24/06/2017,8.4,3072,1,1.0,170,,
2,u,657500,19/11/2016,4.6,3122,1,1.0,728,73.0,1965.0
2,u,520000,8/7/17,23.2,3153,1,1.0,158,69.0,1975.0
2,u,520000,27/06/2016,6.3,3143,1,1.0,0,76.0,1970.0
2,u,676000,6/5/17,5.8,3078,1,1.0,0,87.0,2002.0
4,u,990000,7/5/16,1.2,3006,3,1.0,0,172.0,1995.0
2,u,495000,6/5/17,7.8,3058,1,0.0,388,69.0,1960.0
2,u,590000,20/05/2017,7.8,3058,1,1.0,79,,
4,h,1245000,26/08/2017,16.7,3150,2,2.0,652,,1981.0
1,u,375000,17/06/2017,5.3,3122,1,1.0,0,53.0,1970.0
2,u,800000,7/5/16,5.1,3181,1,1.0,0,92.0,1930.0
3,u,488000,13/05/2017,12.4,3083,1,1.0,260,150.0,1961.0
2,t,860000,10/12/16,9.2,3104,2,2.0,204,,
1,u,520000,8/7/17,5.4,3101,1,1.0,0,,
2,u,782000,4/3/17,7.0,3013,1,1.0,1555,92.0,2013.0
3,h,740000,27/05/2017,38.0,3199,1,1.0,650,,
2,u,666000,29/07/2017,2.4,3121,1,1.0,0,60.0,
4,h,410500,24/06/2017,47.3,3810,2,2.0,425,,
2,t,750000,7/5/16,4.2,3031,1,1.0,325,112.0,2002.0
2,u,830000,4/6/16,9.0,3126,1,1.0,110,83.0,1960.0
2,h,951000,25/02/2017,7.0,3013,1,3.0,486,,
1,u,895000,22/07/2017,1.3,3002,1,1.0,0,60.0,1990.0
4,h,1322000,14/05/2016,6.9,3039,1,1.0,549,192.0,1930.0
2,h,695000,17/06/2017,11.4,3204,1,1.0,126,75.45,1970.0
3,t,420000,9/9/17,25.5,3750,2,2.0,167,,
2,h,1120000,14/05/2016,8.4,3015,1,3.0,574,,
2,u,390000,1/7/17,25.5,3750,1,1.0,197,,
4,h,981000,19/08/2017,11.7,3033,2,2.0,633,,
2,u,770000,7/11/16,11.2,3127,1,1.0,156,,1960.0
3,u,1045000,4/3/17,12.2,3147,2,2.0,467,,
3,h,629500,29/07/2017,11.2,3046,1,1.0,610,,
3,t,955000,11/2/17,5.2,3056,2,2.0,327,110.0,2007.0
3,t,960000,27/05/2017,16.2,3094,2,2.0,397,,2003.0
4,h,1630000,9/9/17,21.5,3195,2,2.0,554,,
2,t,771000,8/7/17,13.8,3188,1,1.0,0,99.0,1992.0
3,h,1200000,8/4/17,5.2,3056,1,1.0,318,,1927.0
3,h,612500,15/10/2016,13.0,3046,2,3.0,635,,
4,h,723000,16/09/2017,18.4,3029,2,2.0,872,,
3,h,1900000,6/8/16,11.2,3186,0,0.0,0,,
